[04:08:09] PlayerInput actions explicitly enabled.
[04:08:09] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:43] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
[05:36:44] Move() Running: Input vector is ZERO ((0.00, 0.00)).
